Year,Toy #,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
2024,HTC78,,,,,,,,,
2024,HTD82,,,,,,,,,
2024,HTF71,,,,,,,,,
2024,HTF18,,,,,,,,,
2024,HTC76,,,,,,,,,
2024,HTD81,,,,,,,,,
2024,HRY55,,,,,,,,,
2024,HTD24,,,,,,,,,
2024,HRY59,,,,,,,,,
2024,HTD44,,,,,,,,,
2024,HTB13,,,,,,,,,
2024,HTB14,,,,,,,,,
2024,HTD36,,,,,,,,,
2024,HTF19,,,,,,,,,
2024,HTB36,,,,,,,,,
2024,HTB76,,,,,,,,,
2024,HTD47,,,,,,,,,
2024,HTB52,,,,,,,,,
2024,HTD53,,,,,,,,,
2024,HRY63,,,,,,,,,
2024,HTD57,,,,,,,,,
2024,HRY61,,,,,,,,,
2024,HTD37,,,,,,,,,
2024,HTB73,,,,,,,,,
2024,HTF49,,,,,,,,,
2024,HTD55,,,,,,,,,
2024,HTB91,,,,,,,,,
2024,HTD39,,,,,,,,,
2024,HTF79,,,,,,,,,
2024,HTC05,,,,,,,,,
2024,HTD40,,,,,,,,,
2024,HTC09,,,,,,,,,
2024,HTC16,,,,,,,,,
2024,HTF63,,,,,,,,,
2024,HTD74,,,,,,,,,
2024,HTC20,,,,,,,,,
2024,HTF34,,,,,,,,,
2024,HTC33,,,,,,,,,
2024,HTF72,,,,,,,,,
2024,HTD75,,,,,,,,,
2024,HTC39,,,,,,,,,
2024,HTD42,,,,,,,,,
2024,HTC47,,,,,,,,,
2024,HTD80,,,,,,,,,
2024,HTB75,,,,,,,,,
2024,HTD56,,,,,,,,,
2024,HTC77,,,,,,,,,
2024,HTF10,,,,,,,,,
2024,HTF89,,,,,,,,,
2024,HRY60,,,,,,,,,
2024,HTD35,,,,,,,,,
2024,HTB00,,,,,,,,,
2024,HTB15,,,,,,,,,
2024,HTD45,,,,,,,,,
2024,HTB45,,,,,,,,,
2024,HTD46,,,,,,,,,
2024,HRY80,,,,,,,,,
2024,HRY90,,,,,,,,,
2024,HTD33,,,,,,,,,
2024,HTF20,,,,,,,,,
2024,HTC00,,,,,,,,,
2024,HTD59,,,,,,,,,
2024,HRY65,,,,,,,,,
2024,HTD48,,,,,,,,,
2024,HTC34,,,,,,,,,
2024,HTF35,,,,,,,,,
2024,HTC54,,,,,,,,,
2024,HTF52,,,,,,,,,
2024,HTD49,,,,,,,,,
2024,HRY64,,,,,,,,,
2024,HTD78,,,,,,,,,
2024,HTB16,,,,,,,,,
2024,HTD68,,,,,,,,,
2024,HTB38,,,,,,,,,
2024,HRY68,,,,,,,,,
2024,HTD71,,,,,,,,,
2024,HRY67,,,,,,,,,
2024,HTD89,,,,,,,,,
2024,HTC36,,,,,,,,,
2024,HTC10,,,,,,,,,
2024,HTF21,,,,,,,,,
2024,HTC57,,,,,,,,,
